Nom 1|Nom 2|Nom latin|Nom anglais|Ordre:famille|Taille|Catégorie|Catégorie2|Bec forme|Bec couleur|bec couleur 2|Pattes|pattes couleur 2|Signe distinctif|Couleur dominante|Tache de couleur|Commentaires|Habitat et comportement Répartition géographique|Habitat1|Habitat2|Scientifique2|FIN
Accenteur alpin||Prunella collaris|Alpine Accentor|PASSERIFORMES: Prunellidae|18|Passereaux||fin et court|noir|jaune||||brun||Corps brun, tache blanche mouchetée de noir sous le bec. Tête et gorge grise. Flancs légèrement roux, ventre roux. Bec jaune à bout noir.|Alpages avec éboulis et rochers, à plus de 1500 mètres. Peut descendre en plaine l'hiver.|Montagnes et roches|||FIN
Accenteur mouchet||Prunella modularis|Dunnock|PASSERIFORMES: Prunellidae|14|Passereaux||fin et court|noir|||||brun||Tête et dos bruns, collier et gorge gris, ventre grisâtre aux flancs légèrement striés de brun. Bec noir.|Buissons, forêts, parc et jardins.|Villes, villages, jardins|Champs et bocages||FIN
Agrobate roux||Cercotrichas galactotes|Rufous-tailed Scrub-Robin|PASSERIFORMES: Muscicapidae|15|Passereaux||fin et court|||||queue longue|brun||Corps brun roux, ventre pâle. Sourcil blanc, joue blanche, bande noir sur l'oeil. Longue queue rousse en éventail, tachetées de brun sombre et de blanc sur le bout. Bec orange et noir.|Vit dans des terrains secs et broussailleux, des oliveraies. On le trouve dans le sud de l'Espagne et de la Grèce. Rare en France.|Milieu sec ou désertique||Erythropygia galactotes|FIN
Aigle botté||Hieraaetus pennatus|Booted Eagle|ACCIPITRIFORMES: Accipitridae|50|Rapaces||crochu|noir||jaune|||brun||Dos brun. Il existe des adultes clairs avec ventre blanc et dessous des ailes blanc bordé de noir, et des adultes foncés entièrement bruns. Bec jaune à bout noir, pattes jaunes.|Vit dans des forêts entourées de zones découvertes (champs, landes, etc). Nidification dans le sud de l'Europe et hiverne en Afrique. Rare en France.|Forêts et landes|||FIN
Aigle criard||Aquila clanga|Greater Spotted Eagle|ACCIPITRIFORMES: Accipitridae|70|Rapaces||crochu|jaune|noir|jaune|||brun||Entièrement brun sombre (avec quelques taches plus claires), bec jaune à bout noir, pattes jaunes.|Europe de l'Est et Balkans.|Forêts et landes|||FIN
Aigle de Bonelli||Aquila fasciata|Bonelli's Eagle|ACCIPITRIFORMES: Accipitridae|70|Rapaces||crochu|jaune|noir|jaune|||brun||Dos brun sombre, tête plus claire, ventre blanc moucheté. Vu du dessous, la queue est blanche avec une frange noire.|Montagnes rocailleuses de basse altitudes, maquis. Présent en plaine en hiver. Espagne et côte méditerranéenne en France.|Montagnes et roches|Milieu méditerranéen||FIN
Aigle ibérique||Aquila adalberti|Spanish Eagle|ACCIPITRIFORMES: Accipitridae|80|Rapaces||crochu|jaune|noir|jaune|||brun|blanc|Dos brun sombre avec la tête plus claire. Tache blanche à l'épaule. Bec noir à base jaune. Pattes jaunes.|Espagne|Montagnes et roches|||FIN
Aigle impérial||Aquila heliaca|Imperial Eagle|ACCIPITRIFORMES: Accipitridae|80|Rapaces||crochu|jaune|noir|jaune|||brun|blanc|Dos brun sombre, tête plus claire, taches blanches sur les épaules (moindres que pour l'aigle ibérique). Bec jaune à bout noir, pattes jaunes.|Balkans|Champs et bocages|||FIN
Aigle pomarin||Aquila pomarina|Lesser Spotted Eagle|ACCIPITRIFORMES: Accipitridae|64|Rapaces||crochu|jaune|noir|jaune|||brun||Entièrement brun sombre. Bec noir à base jaune, pattes jaunes.|On le trouve dans des paysages alternant bois et prairies souvent près de l'eau. Europe de l'Est.|Champs et bocages|||FIN
Aigle royal|Aigle doré|Aquila chrysaetos|Golden Eagle|ACCIPITRIFORMES: Accipitridae|81|Rapaces||crochu|jaune|noir|jaune|||brun||Dos brun sombre avec la tête plus claire. Vues de dessous les ailes sont noires avec une zone blanche au centre. De même la queue est blanche frangée de noir.|On le trouve autour du bassin méditerranéen, l'Europe de l'Est et la Scandinavie.|Montagnes et roches|Champs et bocages||FIN
Aigrette à gorge blanche|Aigrette des récifs|Egretta gularis|Western Reef-Heron|PELECANIFORMES: Ardeidae|60|Grands échassiers||droit et long|noir|jaune|gris|jaune||blanc||Entièrement blanche en phase claire, elle ressemble beaucoup à l'aigrette garzette, dont elle se distingue par ces pattes (chez la garzette, seuls les doigts sont jaunes, alors que chez l'aigrette à gorge blanche, la limite entre le noir est le jaune est moins nette). Elle est grise en phase sombre, à l'exception de la gorge blanche.||Littoral|||FIN
