long_name;genus;specie;country;gmi_cntry
accipiter brevipes;accipiter;brevipes;Albania;ALB
accipiter brevipes;accipiter;brevipes;Bulgaria;BGR
accipiter brevipes;accipiter;brevipes;Greece;GRC
accipiter brevipes;accipiter;brevipes;Macedonia;MKD
accipiter brevipes;accipiter;brevipes;Romania;ROM
accipiter brevipes;accipiter;brevipes;Russia;RUS
accipiter brevipes;accipiter;brevipes;Yugoslavia;YUG
accipiter gentilis;accipiter;gentilis;Albania;ALB
accipiter gentilis;accipiter;gentilis;Andorra;AND
accipiter gentilis;accipiter;gentilis;Austria;AUT
accipiter gentilis;accipiter;gentilis;Belgium;BEL
accipiter gentilis;accipiter;gentilis;Bosnia and Herzegovina;BIH
accipiter gentilis;accipiter;gentilis;Bulgaria;BGR
accipiter gentilis;accipiter;gentilis;Byelarus;BLR
accipiter gentilis;accipiter;gentilis;Croatia;HRV
accipiter gentilis;accipiter;gentilis;Czech Republic;CZE
accipiter gentilis;accipiter;gentilis;Denmark;DNK
accipiter gentilis;accipiter;gentilis;Estonia;EST
accipiter gentilis;accipiter;gentilis;Finland;FIN
accipiter gentilis;accipiter;gentilis;France;FRA
accipiter gentilis;accipiter;gentilis;Germany;DEU
accipiter gentilis;accipiter;gentilis;Greece;GRC
accipiter gentilis;accipiter;gentilis;Hungary;HUN
accipiter gentilis;accipiter;gentilis;Italy;ITA
accipiter gentilis;accipiter;gentilis;Latvia;LVA
accipiter gentilis;accipiter;gentilis;Liechtenstein;LIE
accipiter gentilis;accipiter;gentilis;Lithuania;LTU
accipiter gentilis;accipiter;gentilis;Luxembourg;LUX
accipiter gentilis;accipiter;gentilis;Macedonia;MKD
accipiter gentilis;accipiter;gentilis;Moldova;MDA
accipiter gentilis;accipiter;gentilis;Monaco;MCO
accipiter gentilis;accipiter;gentilis;Netherlands;NLD
accipiter gentilis;accipiter;gentilis;Norway;NOR
accipiter gentilis;accipiter;gentilis;Poland;POL
accipiter gentilis;accipiter;gentilis;Portugal;PRT
accipiter gentilis;accipiter;gentilis;Romania;ROM
accipiter gentilis;accipiter;gentilis;Russia;RUS
accipiter gentilis;accipiter;gentilis;Slovakia;SVK
accipiter gentilis;accipiter;gentilis;Slovenia;SVN
accipiter gentilis;accipiter;gentilis;Spain;ESP
accipiter gentilis;accipiter;gentilis;Sweden;SWE
accipiter gentilis;accipiter;gentilis;Switzerland;CHE
accipiter gentilis;accipiter;gentilis;Ukraine;UKR
accipiter gentilis;accipiter;gentilis;United Kingdom;GBR
accipiter gentilis;accipiter;gentilis;Yugoslavia;YUG
accipiter nisus;accipiter;nisus;Albania;ALB
accipiter nisus;accipiter;nisus;Andorra;AND
accipiter nisus;accipiter;nisus;Austria;AUT
accipiter nisus;accipiter;nisus;Belgium;BEL
accipiter nisus;accipiter;nisus;Bosnia and Herzegovina;BIH
accipiter nisus;accipiter;nisus;Bulgaria;BGR
accipiter nisus;accipiter;nisus;Byelarus;BLR
accipiter nisus;accipiter;nisus;Croatia;HRV
accipiter nisus;accipiter;nisus;Czech Republic;CZE
accipiter nisus;accipiter;nisus;Denmark;DNK
accipiter nisus;accipiter;nisus;Estonia;EST
accipiter nisus;accipiter;nisus;Finland;FIN
accipiter nisus;accipiter;nisus;France;FRA
accipiter nisus;accipiter;nisus;Germany;DEU
accipiter nisus;accipiter;nisus;Greece;GRC
accipiter nisus;accipiter;nisus;Hungary;HUN
accipiter nisus;accipiter;nisus;Ireland;IRL
accipiter nisus;accipiter;nisus;Isle of Man;XIM
accipiter nisus;accipiter;nisus;Italy;ITA
accipiter nisus;accipiter;nisus;Latvia;LVA
accipiter nisus;accipiter;nisus;Liechtenstein;LIE
accipiter nisus;accipiter;nisus;Lithuania;LTU
accipiter nisus;accipiter;nisus;Luxembourg;LUX
accipiter nisus;accipiter;nisus;Macedonia;MKD
accipiter nisus;accipiter;nisus;Moldova;MDA
accipiter nisus;accipiter;nisus;Monaco;MCO
accipiter nisus;accipiter;nisus;Netherlands;NLD
accipiter nisus;accipiter;nisus;Norway;NOR
accipiter nisus;accipiter;nisus;Poland;POL
accipiter nisus;accipiter;nisus;Portugal;PRT
accipiter nisus;accipiter;nisus;Romania;ROM
accipiter nisus;accipiter;nisus;Russia;RUS
accipiter nisus;accipiter;nisus;Slovakia;SVK
accipiter nisus;accipiter;nisus;Slovenia;SVN
accipiter nisus;accipiter;nisus;Spain;ESP
accipiter nisus;accipiter;nisus;Sweden;SWE
accipiter nisus;accipiter;nisus;Switzerland;CHE
accipiter nisus;accipiter;nisus;Ukraine;UKR
accipiter nisus;accipiter;nisus;United Kingdom;GBR
accipiter nisus;accipiter;nisus;Yugoslavia;YUG
acridotheres cristatellus;acridotheres;cristatellus;Portugal;PRT
acridotheres tristis;acridotheres;tristis;Russia;RUS
acridotheres tristis;acridotheres;tristis;Spain;ESP
acrocephalus agricola;acrocephalus;agricola;Bulgaria;BGR
acrocephalus agricola;acrocephalus;agricola;Moldova;MDA
acrocephalus agricola;acrocephalus;agricola;Romania;ROM
acrocephalus agricola;acrocephalus;agricola;Russia;RUS
acrocephalus agricola;acrocephalus;agricola;Ukraine;UKR
acrocephalus arundinaceus;acrocephalus;arundinaceus;Albania;ALB
acrocephalus arundinaceus;acrocephalus;arundinaceus;Austria;AUT
acrocephalus arundinaceus;acrocephalus;arundinaceus;Belgium;BEL
acrocephalus arundinaceus;acrocephalus;arundinaceus;Bosnia and Herzegovina;BIH
acrocephalus arundinaceus;acrocephalus;arundinaceus;Bulgaria;BGR
acrocephalus arundinaceus;acrocephalus;arundinaceus;Byelarus;BLR
acrocephalus arundinaceus;acrocephalus;arundinaceus;Croatia;HRV
