latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Dendrocygna viduata|Witwenpfeifgans|Suirirí Cariblanco|Randablístra|Nonnetræand|husička vdovka|naamioviheltäjäsorsa|Dendrocigna facciabianca|シロガオリュウキュウガモ|Witwangfluiteend|Maskeplystreand|drzewica bialolica|Irere|Утка-вдовушка|stromárka bielohlavá|Vithuvad visseland|白脸树鸭
Anser fabalis|Saatgans|Ánsar Campestre|Akurgæs|Tajgasædgås|husa polní|metsähanhi|Oca granaiola|ヒシクイ|Taigarietgans|Sædgås|gęś zbożowa|Ganso-campestre|Гуменник|hus siatinná|Sädgås|豆雁
Anser serrirostris|Östliche Saatgans|||Tundrasædgås|||Oca granaiola|ヒシクイ|Toendrarietgans|Tundrasædgås|ges tundrowa|Ganso-campestre|Восточный Тундро|hus tundrová||短嘴豆雁
Anser brachyrhynchus|Kurzschnabelgans|Ansar Piquicorto|Heiðagæs|Kortnæbbet Gås|husa krátkozobá|lyhytnokkahanhi|Oca delle zampe rosse|コザクラバシガン|Kleine Rietgans|Kortnebbgås|gęś krótkodzioba|Ganso-de-bico-curto|Короткоклювый гуменник|hus krátkozobá|Spetsbergsgås|粉脚雁
Anser albifrons|Bläßgans|Ansar Careto|Blesgæs|Blisgås|husa běločelá|tundrahanhi|Oca lombardella maggiore|マガン|Kolgans|Tundragås|gęś białoczelna|Ganso-grande-de-testa-branca|Белолобый гусь|hus bieločelá|Bläsgås|白额雁
Anser erythropus|Zwerggans|Ansar Chico|Fjallgæs|Dværggås|husa malá|kiljuhanhi|Oca lombardella minore|カリガネ|Dwerggans|Dverggås|gęś mała|Ganso-pequeno-de-testa-branca|Пискулька|hus malá|Fjällgås|小白额雁
Anser anser|Graugans|Ansar Común|Grágæs|Grågås|husa velká|merihanhi|Oca selvatica|ハイイロガン|Grauwe Gans|Grågås|gęgawa|Ganso-comum|Серый гусь|hus divá|Grågås|灰雁
Anser indicus|Streifengans|Ansar Indio|Taumgæs|Indisk Gås|husa tibetská|tiibetinhanhi|Oca indiana|インドガン|Indische Gans|Stripegås|gęś tybetańska||Горный гусь|hus vrchovská|Stripgås|斑头雁
Chen caerulescens|Schneegans|Ansar Nival|Snjógæs|Snegås|husa sněžní|lumihanhi|Oca delle nevi|ハクガン|Sneeuwgans|Snøgås|śnieżyca duża|Ganso-das-neves|Белый гусь|hus snežná|Snögås|雪雁
Chen rossii|Zwergschneegans|Ansar de Ross|Mjallgæs|Dværgsnegås|husa bělostná|eskimohanhi|Oca di Ross|ヒメハクガン|Ross’ Gans|Eskimogås|sniezyca mala|Ganso de Ross|Гусь Росса|hus snežnička|Dvärgsnögås|细嘴雁
