Авлига|Oriolus oriolus
Азиатско пустинно коприварче|Sylvia nana
Алпийска чучулига|Eremophila alpestris
Алпийски бързолет|Tachymarptis melba
Американски нирец|Lophodytes cucullatus
Атлантически буревестник|Puffinus puffinus
Белобуза гъска|Branta leucopsis
Белобуза рибарка|Chlidonias hybridus 
Беловежд дрозд|Turdus iliacus
Беловрата мухоловка|Ficedula albicollis
Белоглав лешояд|Gyps fulvus 
Белоглава овесарка|Emberiza leucocephalos
Белогръб кълвач|Dendrocopos leucotos
Белогръдо земеродно рибарче|Halcyon smyrnensis
Белогуш дрозд|Turdus torquatus
Белогуша овесарка|Emberiza rustica 
Белокрила кръсточовка|Loxia leucoptera
Белокрила рибарка|Chlidonias leucopterus 
Белокрила чучулига|Melanocorypha leucoptera
Белоока потапница|Aythya nyroca 
Белоопашат мишелов|Buteo rufinus 
Белоопашата калугерица|Vanellus leucurus 
Белочела гъска|Anser albifrons
Белочела сврачка|Lanius nubicus
Белошипа ветрушка|Falco naumanni 
Биволска чапла|Bubulcus ibis 
Блатна сова|Asio flammeus
Блатно шаварче|Acrocephalus scirpaceus
Блед бързолет|Apus pallidus
Блестящ ибис|Plegadis falcinellus 
Бойник|Philomachus pugnax 
Брадат лешояд|Gypaetus barbatus 
Брегова лястовица|Riparia riparia
Брезов певец|Phylloscopus trochilus
Брезова скатия|Carduelis flammea
Буков певец|Phylloscopus sibilatrix
Бухал|Bubo bubo
Бял ангъч|Tadorna tadorna 
Бял рибояд|Morus bassanus
Бял щъркел|Ciconia ciconia 
Бяла лопатарка|Platalea leucorodia 
Бяла стърчиопашка|Motacilla alba
Вечерна ветрушка|Falco vespertinus 
Вилоопашата чайка|Xema sabini
Воден кос|Cinclus cinclus
Водна бъбрица|Anthus spinoletta
Водно шаварче|Acrocephalus paludicola
Врабчова кукумявка|Glaucidium passerinum
Вълнолюбка|Hydrobates pelagicus
Въртошийка|Jynx torquilla
Гага|Somateria mollissima 
Гарван|Corvus corax
Глухар|Tetrao urogallus 
Голям брегобегач|Calidris canutus
Голям воден бик|Botaurus stellaris 
Голям гмурец|Podiceps cristatus 
Голям горски водобегач|Tringa ochropus 
Голям зеленоног водобегач|Tringa nebularia
Голям корморан|Phalacrocorax carbo 
Голям креслив орел|Aquila clanga 
Голям маслинов присмехулник|Hippolais olivetorum
Голям морелетник|Stercorarius pomarinus
Голям нирец|Mergus merganser
Голям пъстър кълвач|Dendrocopos major
Голям свирец|Numenius arquata
Голям синигер|Parus major
Голям червеноног водобегач|Tringa erythropus
Голям ястреб|Accipiter gentilis 
Голяма бекасина|Gallinago media 
Голяма бяла чапла|Ardea alba 
Голяма полярна чайка|Larus hyperboreus
Голяма пъструшка|Porzana porzana 
Голяма черноглава чайка|Larus ichthyaetus
Голяма черногърба чайка|Larus marinus
Голямо белогушо коприварче|Sylvia communis
Голямо черноглаво коприварче|Sylvia atricapilla
Горска бъбрица|Anthus trivialis
Горска дърволазка|Certhia familiaris
Горска зидарка|Sitta europaea
Горска улулица|Strix aluco
Горска ушата сова|Asio otus
Горска чучулига|Lullula arborea
Горски бекас|Scolopax rusticola 
Градинска дърволазка|Certhia brachydactyla
Градинска овесарка|Emberiza hortulana
Градинска червеноопашка|Phoenicurus phoenicurus
Градински присмехулник|Hippolais icterina
Градинско коприварче|Sylvia borin 
Градинско шаварче|Acrocephalus dumetorum
Градска лястовица|Delichon urbicum
Гривеста рибарка|Sterna sandvicensis 
Гривеста чапла|Ardeola ralloides 
Гривяк|Columba palumbus
Гугутка|Streptopelia decaocto
Гургулица|Streptopelia turtur
Гълъб хралупар|Columba oenas
