LATIN NAME|CATALAN NAME|GALICIAN NAME|BASQUE NAME
Cygnus olor|Cigne mut|Cisne Mudo|Beltxarga arrunta
Cygnus columbianus|Cigne petit|Cisne Pequeno|Beltxarga txistularia
Cygnus cygnus|Cigne cantaire|Cisne Bravo|Beltxarga oihularia
Anser fabalis|Oca pradenca|Ganso Campestre|Antzara hankahoria
Anser brachyrhynchus|Oca de bec curt|Ganso Bicocurto|Antzara mokolaburra
Anser albifrons|Oca riallera grossa|Ganso de Testa Branca|Antzara muturzuria
Anser erythropus|Oca riallera petita|Ganso Pequeno|Antzara nanoa
Anser anser|Oca vulgar|Ganso Bravo|Antzara hankagorrizta
Branta canadensis|Oca del Canadà|Ganso do Canadá|Branta kanadarra
Branta leucopsis|Oca de galta blanca|Ganso de Cara Branca|Branta musuzuria
Branta bernicla|Oca de collar|Ganso de Cara Negra|Branta musubeltza
Branta ruficollis|Oca de coll roig|Ganso Paporrubio|
Tadorna ferruginea|Ànec canyella|Pato Canelo|Paita gorrizta
Tadorna tadorna|Ànec blanc|Pato Branco|Paita arrunta
Aix galericulata|Ànec mandarí|Pato Mandarín|Mandarin ahatea
Anas penelope|Ànec xiulador|Asubiador|Ahate txistularia
Anas americana|Ànec xiulador americà|Asubiador Americano|Ahate txistulari amerikarra
Anas strepera|Ànec griset|Pato Frisado|Ipar-ahatea
Anas crecca|Xarxet comú|Cerceta|Zertzeta arrunta
Anas carolinensis|Xarxet de Carolina|Cerceta da Carolina|
Anas platyrhynchos|Ànec collverd|Lavanco|Basahatea
Anas rubripes|Ànec collverd americà|Pato Sombrío|Ahate iluna
Anas acuta|Ànec cuallarg|Pato Rabilongo|Ahate buztanluzea
Anas querquedula|Xarrasclet|Cerceta Albela|Udako zertzeta
Anas discors|Xarxet alablau|Cerceta Aliazul|Zertzeta hegalurdina
Anas clypeata|Ànec cullerot|Cullerete|Ahate mokozabala
Marmaronetta angustirostris|Xarxet marbrenc|Cerceta Parda|Zertzeta marmolairea
Netta rufina|Xibec|Pato Rubio|Ahate gorrizta
Aythya ferina|Morell de cap roig|Pato Chupón|Murgilari arrunta
Aythya collaris|Morell de collar|Pato de Colar|Murgilari lepokoduna
Aythya nyroca|Morell xocolater|Pato Castaño|Murgilari arrea
Aythya fuligula|Morell de plomall|Pato Cristado|Murgilari mottoduna
Aythya marila|Morell buixot|Pato Bastardo|Murgilari handia
Aythya affinis|Morell menut|Pato Bola|Murgilari txikia
Somateria mollissima|Èider|Éider|Eider arrunta
Somateria spectabilis|Èider reial|Éider Real|Eider erregea
Clangula hyemalis|Ànec glacial|Pato Rabeiro|Izotz-ahatea
Melanitta nigra|Ànec negre|Pentumeiro|Ahatebeltz arrunta
Melanitta perspicillata|Ànec negre americà|Pentumeiro Careto|Ahatebeltz kopetazuria
Melanitta fusca|Ànec fosc|Pentumeiro de Ala Branca|Ahatebeltz hegazuria
Bucephala clangula|Morell d'ulls grocs|Ollodourado|Murgilari urrebegia
Mergus albellus|Bec de serra petit|Mergo Pequeno|Zerra txikia
Mergus serrator|Bec de serra mitjà|Mergo Cristado|Zerra ertaina
Mergus merganser|Bec de serra gros|Mergo Grande|Zerra handia
Oxyura jamaicensis|Ànec de Jamaica|Malvasía Americana|Ahate herdoiltsua
Oxyura leucocephala|Ànec capblanc|Malvasía|Ahate buruzuria
Bonasa bonasia|Grèvol|Grévol|Larreoiloa
Lagopus muta|Perdiu blanca|Perdiz das Neves|Lagopodo zuria
Tetrao urogallus|Gall fer|Pita do Monte|Basoilarra
Alectoris rufa|Perdiu roja|Perdiz|Eper gorria
Alectoris barbara|Perdiu d'Àfrica|Perdiz Moura|Afrikar eper
Perdix perdix|Perdiu xerra|Charrela|Eper grisa
Coturnix coturnix|Guatlla|Paspallás|Galeperra
Phasianus colchicus|Faisà|Faisán|Faisai arrunta
Gavia stellata|Calàbria petita|Mobella Pequena|Aliota txikia
Gavia arctica|Calàbria agulla|Mobella Ártica|Aliota arktikoa
Gavia immer|Calàbria grossa|Mobella Grande|Aliota handia
Podilymbus podiceps|Cabusset becgròs|Mergullón Bicogroso|
Tachybaptus ruficollis|Cabusset|Mergullón Pequeno|Txilinporta txikia
Podiceps cristatus|Cabusó emplomallat|Mergullón Cristado|Murgil handia
Podiceps grisegena|Cabusó gris|Mergullón Cincento|Murgil lepagorria
Podiceps auritus|Cabussó orellut|Mergullón Real|Txilinporta urrebelarria
Podiceps nigricollis|Cabussó collnegre|Mergullón de Pescozo Negro|Txilinporta lepabeltza
Thalassarche melanophris|Albatros cellanegre|Albatros Olleirudo|
Fulmarus glacialis|Fulmar|Fulmar|Fulmarra
Pterodroma hasitata|Petrell del Carib||
Bulweria bulwerii|Petrell de Bulwer|Pardela de Bulwer|
Calonectris diomedea|Baldriga cendrosa|Pardela Cincenta|Gabai arrea
Puffinus gravis|Baldriga capnegra|Pardela Encapuchada|Gabai handia
Puffinus griseus|Baldriga grisa|Pardela Escura|Gabai iluna
Puffinus puffinus|Baldriga pufí|Furabuchos Atlántico|Gabai arrunta
Puffinus mauretanicus|Baldriga balear|Furabuchos Balear|
Puffinus yelkouan|Baldriga mediterrània|Furabuchos Mediterráneo|Gabai mediterraneo
Puffinus assimilis|Baldriga petita|Pardela Pequena|
Oceanites oceanicus|Petrell oceànic|Paíño de Wilson|
Pelagodroma marina|Petrell carablanc|Calcamar|Ekaitz-txori musuzuri
Hydrobates pelagicus|Ocell de tempesta|Paíño Pequeno|Ekaitz-txori txikia
Oceanodroma leucorhoa|Petrell cuaforcat|Paíño de Rabo Gallado|Ekaitz-txori handia
Oceanodroma monorhis|Petrell de Swinhoe||
Oceanodroma castro|Petrell de Madeira|Paíño de Madeira|
Phaethon aethereus|Cuajonc de bec roig|Rabixunco|
Sula dactylatra|Mascarell emmascarat|Atobá Grande|
Sula leucogaster|Mascarell bru|Mascato Pardo|
Morus bassanus|Mascarell|Mascato|Zanga
Phalacrocorax carbo|Corb marí gros|Corvo Mariño Grande|Ubarroi handia
Phalacrocorax aristotelis|Corb marí emplomallat|Corvo Mariño Cristado|Ubarroi mottoduna
Phalacrocorax pygmeus|Corb marí pigmeu|Corvo Mariño Pigmeo|
Pelecanus onocrotalus|Pelicà vulgar|Pelicano Branco|Pelikanoa
Fregata magnificens|Fregata grossa|Rabiforcado|
Botaurus stellaris|Bitó comú|Abetouro|Txori zezen arrunta
Botaurus lentiginosus|Bitó americà|Abetouro Americano|
Ixobrychus minutus|Martinet menut|Garza Pequena|Amiltxori txikia
Ixobrychus sturmii|Martinet menut de Sturm||
Nycticorax nycticorax|Martinet de nit|Garza da Noite|Amiltxori arrunta
Ardeola ralloides|Martinet ros|Garza Caranguexeira|Lertxuntxo karramarrozalea
Bubulcus ibis|Esplugabous|Garza Boieira|Lertxuntxo itzaina
Egretta gularis|Martinet dels esculls|Garzota dos Arrecifes|
Egretta garzetta|Martinet blanc|Garzota|Lertxuntxo txikia
Egretta alba|Agró blanc|Garzota Grande|Lertxuntxo handia
Ardea cinerea|Bernat pescaire|Garza Real|Lertxun hauskara
Ardea herodias|Bernat americà||
Ardea purpurea|Agró roig|Garza Vermella|Lertxun gorria
Ciconia nigra|Cigonya negra|Cegoña Negra|Amiamoko beltza
Ciconia ciconia|Cigonya blanca|Cegoña Branca|Amiamoko zuria
Plegadis falcinellus|Capó reial|Mazarico Negro|Beltzarana
Geronticus eremita|Ibis ermità|Ibis Pelado|
Platalea leucorodia|Becplaner|Cullereiro|Mokozabala
Phoenicopterus roseus|Flamenc|Flamingo|Flamenko handia
Pernis apivorus|Aligot vesper|Miñato Abelleiro|Zapelatz liztorjalea
Elanus caeruleus|Esparver d'espatlles negres|Lagarteiro Cincento|Elano urdina
Milvus migrans|Milà negre|Millafre Negro|Miru beltza
Milvus milvus|Milà reial|Millafre Real|Miru gorria
Haliaeetus albicilla|Àguila marina|Pigargo|Itsas arrano buztanzuria
Gypaetus barbatus|Trencalòs|Quebraósos|Ugatza
Neophron percnopterus|Aufrany|Voitre Branco|Sai zuria
Gyps fulvus|Voltor comú|Voitre|Sai arrea
Gyps rueppellii|Voltor de Rüppell|Voitre de Rüpell|Rüppell saia
Torgos tracheliotus|Voltor torgos||
Aegypius monachus|Voltor negre|Voitre Negro|Sai motza
Circaetus gallicus|Àguila marcenca|Aguia Cobreira|Arrano sugezalea
Circus aeruginosus|Arpella vulgar|Tartaraña das Xunqueiras|Zingira-mirotza
Circus cyaneus|Arpella pàl·lida|Gatafornela|Mirotz zuria
Circus macrourus|Arpella pàl·lida russa|Tartaraña de Papo Branco|Mirotz lepazuria
Circus pygargus|Esparver cendrós|Tartaraña Cincenta|Mirotz urdina
Accipiter gentilis|Astor|Azor|Aztore arrunta
Accipiter nisus|Esparver vulgar|Gabián|Gabirai arrunta
Buteo buteo|Aligot comú|Miñato|Zapelatz arrunta
Buteo rufinus|Aligot rogenc|Miñato Mouro|Zapelatz handia
Buteo lagopus|Aligot calçat|Miñato Calzado|Zapelatz galtzaduna
Aquila pomarina|Àguila pomerània|Aguia Pomerana|Arrano pomeaniarra
Aquila clanga|Àguila cridanera|Aguia Manchada|Arrano pikarta
Aquila heliaca|Àguila imperial oriental|Aguia imperial|Eguzki-arranoa
Aquila adalberti|Àguila imperial ibèrica|Aguia Imperial ibérica|Eguzki-arrano iberiarra
Aquila chrysaetos|Àguila daurada|Aguia Real|Arrano beltza
Hieraaetus pennatus|Àguila calçada|Aguia Calzada|Arrano txikia
Hieraaetus fasciatus|Àguila cuabarrada|Aguia Perdigueira|Aztore-arranoa
Pandion haliaetus|Àguila pescadora|Aguia Pescadora|Arrano arrantzalea
Falco naumanni|Xoriguer petit|Lagarteiro das Torres|Etxe belatza
Falco tinnunculus|Xoriguer comú|Lagarteiro|Belatz gorria
Falco vespertinus|Falcó cama-roig|Lagarteiro Patirrubio|Belatz hankagorria
Falco columbarius|Esmerla|Esmerillón|Belatz txikia
Falco subbuteo|Falcó mostatxut|Falcón Pequeno|Zuhaitz-belatza
Falco eleonorae|Falcó de la reina|Falcón da Raíña|Eleonor belatza
Falco biarmicus|Falcó llaner|Alfaneque|Hego-belatza
Falco peregrinus|Falcó pelegrí|Falcón Peregrino|Belatz handia
Falco pelegrinoides|Falcó berber|Falcón de Berbería|
Turnix sylvaticus|Guatlla andalusa|Tourón|
Rallus aquaticus|Rascló|Rascón|Uroilanda handia
Porzana porzana|Polla pintada|Poliña Pinta|Uroilanda pikarta
Porzana carolina|Polla pintada de Carolina|Poliña Americana|
Porzana parva|Rascletó|Poliña Bastarda|Uroilanda hankaberdea
Porzana pusilla|Rasclet|Poliña Pequena|Uroilanda txikia
Crecopsis egregia|Guatlla maresa africana||
Crex crex|Guatlla maresa|Guión de Paspallás|Giloia
Gallinula chloropus|Polla d'aigua|Galiñola|Uroiloa
Porphyrio alleni|Polla blava d'Allen|Camón de Allen|
Porphyrio porphyrio|Polla blava|Camón|Uroilo urdina
Fulica atra|Fotja vulgar|Galiñola Negra|Kopetazuri arrunta
Fulica americana|Fotja americana|Carquexa|
Fulica cristata|Fotja banyuda|Galiñola Cristada|Kopetazuri gandordun
Grus grus|Grua|Grou|Kurrilo arrunta
Grus virgo|Grua damisel·la|Grou Pequeno|
Tetrax tetrax|Sisó|Sisón|Basoilo txikia
Chlamydotis undulata|Hubara|Hubara|
Otis tarda|Pioc salvatge|Avetarda|Basoilo handia
Haematopus ostralegus|Garsa de mar|Gabita|Itsas mika
Haematopus meadewaldoi|Garsa de mar canària||
Himantopus himantopus|Cames llargues|Pernalonga|Zankaluzea
Recurvirostra avosetta|Bec d'alena|Avoceta|Abozeta
Burhinus oedicnemus|Torlit|Alcaraván|Atalarra
Cursorius cursor|Corredor|Corredeira|Hankarin
Glareola pratincola|Perdiu de mar|Perdiz de Mar|Pratinkola
Glareola nordmanni|Perdiu de mar d'ala negra||
Charadrius dubius|Corriol petit|Píllara Pequena|Txirritxo txikia
Charadrius hiaticula|Corriol gros|Píllara Real|Txirritxo handia
Charadrius semipalmatus|Corriol semipalmat|Píllara Semipalmada|
Charadrius vociferus|Corriol cua-roig|Píllara Rabirrubia|
Charadrius pecuarius|Corriol pecuari||
Charadrius alexandrinus|Corriol camanegre|Píllara das Dunas|Txirritxo hankabeltza
Charadrius mongolus|Corriol mongol|Píllara Mongola|
Charadrius leschenaultii|Corriol de Leschenault||
Charadrius morinellus|Corriol pit-roig|Píllara Rubia|Txirri lepokoduna
Pluvialis dominica|Daurada petita americana|Píldora Dourada Americana|
Pluvialis fulva|Daurada petita del Pacífic|Píldora Dourada Siberiana|
Pluvialis apricaria|Daurada grossa|Píldora Dourada|Urre-txirri arrunta
Pluvialis squatarola|Pigre gris|Píldora Cincenta|Txirri grisa
Vanellus gregarius|Fredeluga gregària|Avefría Sociable|
Vanellus leucurus|Fredeluga cuablanca||
Vanellus vanellus|Fredeluga|Avefría|Hegabera
Calidris tenuirostris|Territ de Bering|Pilro de Bering|
Calidris canutus|Territ gros|Pilro Gordo|Txirri lodia
Calidris alba|Territ tresdits|Pilro Tridáctilo|Txirri zuria
Calidris pusilla|Territ semipalmat|Pilro Semipalmado|
Calidris mauri|Territ d'Alaska|Pilro de Maur|
Calidris minuta|Territ menut|Pilro Pequeno|Txirri txikia
Calidris temminckii|Territ de Temminck|Pilro de Temminck|Temminck txirria
Calidris minutilla|Territ menut canadenc|Pilro Minúsculo|
Calidris fuscicollis|Territ cuablanc|Pilro de Bonaparte|
Calidris bairdii|Territ de Baird|Pilro de Baird|
Calidris melanotos|Territ pectoral|Pilro Peitoral|
Calidris acuminata|Territ acuminat||
Calidris ferruginea|Territ becllarg|Pilro Ferruxento|Txirri kurlinta
Calidris himantopus|Territ camallarg|Pilro Patilongo|
Calidris maritima|Territ fosc|Pilro Escuro|Txirri iluna
Calidris alpina|Territ variant|Pilro Común|Txirri arrunta
Limicola falcinellus|Territ becadell|Pilro Falcinelo|Txirri hankalabur
Tryngites subruficollis|Territ rogenc|Pilro Canelo|
Philomachus pugnax|Batallaire|Combatente|Borrokalaria
Lymnocryptes minimus|Becadell sord|Becacina Pequena|Istingor txikia
Gallinago gallinago|Becadell comú|Becacina|Istingor arrunta
Gallinago media|Becadell gros|Becacina Real|Istingor handia
Limnodromus scolopaceus|Tetolet becllarg|Mazarico Escolopáceo|
Scolopax rusticola|Becada|Arcea|Oilagorra
Limosa limosa|Tètol cuanegre|Mazarico Rabinegro|Kuliska buztanbeltza
Limosa lapponica|Tètol cuabarrat|Mazarico Rubio|Kuliska gorria
