Mute Swan|Cygnus olor |Bütykös hattyú
2||
Tundra (aka Bewick's) Swan|Cygnus columbianus bewickii|Kis hattyú 
3||
Whooper Swan|Cygnus cygnus |Énekes hattyú
4||
Bean Goose|Anser fabalis |Vetési lúd
5||
Pink-footed Goose |Anser brachyrhynchus |Rövidcsőrű lúd 
6||
(Greater) White-fronted Goose|Anser albifrons |Nagy lilik
7||
Lesser White-fronted Goose |Anser erythropus |Kis lilik 
8||
Greylag Goose|Anser anser |Nyári lúd
9||
Bar-headed Goose|Anser indicus|Indiai lúd
10||
Canada Goose |Branta canadensis |Kanadai lúd 
11||
Barnacle Goose|Branta leucopsis |Apácalúd
12||
Brant (aka Brent) Goose |Branta bernicla |Örvös lúd 
13||
Red-breasted Goose|Branta ruficollis |Vörösnyakú lúd
14||
Egyptian Goose |Alopochen aegyptiaca|Nílusi lúd 
15||
Ruddy Shelduck |Tadorna ferruginea |Vörös ásólúd 
16||
(Common) Shelduck|Tadorna tadorna |Bütykös ásólúd
17||
(Eurasian) Wigeon|Anas penelope |Fütyülő réce
18||
American Wigeon|Anas americana|Álarcos réce
19||
Gadwall|Anas strepera |Kendermagos réce
20||
(Eurasian) Teal|Anas crecca |Csörgő réce
21||
Green-winged Teal |Anas carolinensis |Zöldszárnyú réce 
22||
Mallard|Anas platyrhynchos |Tőkés réce
23||
(Northern) Pintail|Anas acuta |Nyílfarkú réce
24||
Garganey|Anas querquedula |Böjti réce
25||
Blue-winged Teal |Anas discors |Kékszárnyú réce 
26||
(Northern) Shoveler|Anas clypeata |Kanalas réce
27||
Marbled Duck |Marmaronetta angustirostris |Márványos réce 
28||
Red-crested Pochard|Netta rufina |Üstökösréce
29||
(Common) Pochard|Aythya ferina |Barátréce
30||
Ring-necked Duck |Aythya collaris |Örvös réce 
31||
Ferruginous Duck|Aythya nyroca |Cigányréce
32||
Tufted Duck|Aythya fuligula |Kontyos réce
33||
(Greater) Scaup|Aythya marila |Hegyi réce
34||
Lesser Scaup |Aythya affinis |Búbos réce 
35||
Common Eider |Somateria mollissima |Pehelyréce 
36||
King Eider |Somateria spectabilis |Cifra pehelyréce 
37||
Steller's Eider |Polysticta stelleri |Steller-pehelyréce 
38||
Long-tailed Duck|Clangula hyemalis |Jegesréce
39||
Black (aka Common) Scoter|Melanitta nigra |Fekete réce
40||
Velvet Scoter|Melanitta fusca |Füstös réce
41||
(Common) Goldeneye|Bucephala clangula |Kerceréce
42||
Smew|Mergus albellus |Kis bukó
43||
Red-breasted Merganser|Mergus serrator |Örvös bukó
44||
(Common) Merganser (aka Goosander)|Mergus merganser |Nagy bukó
45||
Ruddy Duck |Oxyura jamaicensis |Halcsontfarkú réce 
46||
White-headed Duck |Oxyura leucocephala |Kékcsőrű réce 
47||
Hazel Grouse|Bonasa bonasia |Császármadár
48||
Black Grouse |Tetrao tetrix |Nyírfajd 
49||
(Western) Capercaillie |Tetrao urogallus |Siketfajd 
50||
(Grey) Partridge|Perdix perdix |Fogoly
51||
(Common) Quail|Coturnix coturnix |Fürj
52||
(Common) Pheasant|Phasianus colchicus |Fácán
53||
Red-throated Diver|Gavia stellata |Északi búvár
54||
Black-throated Diver|Gavia arctica |Sarki búvár
55||
Great Northern Diver |Gavia immer |Jeges búvár 
56||
Little Grebe|Tachybaptus ruficollis |Kis vöcsök
57||
Great Crested Grebe|Podiceps cristatus |Búbos vöcsök
58||
Red-necked Grebe|Podiceps grisegena |Vörösnyakú vöcsök
59||
Horned (aka Slavonian) Grebe|Podiceps auritus |Füles vöcsök
60||
Black-necked Grebe|Podiceps nigricollis |Feketenyakú vöcsök
61||
(Great) Cormorant|Phalacrocorax carbo |Kárókatona
62||
Pygmy Cormorant|Phalacrocorax pygmeus |Kis kárókatona
63||
(Great) White Pelican |Pelecanus onocrotalus |Rózsás gödény 
64||
Dalmatian Pelican |Pelecanus crispus |Borzas gödény 
65||
(Eurasian) Bittern|Botaurus stellaris |Bölömbika
66||
Little Bittern|Ixobrychus minutus |Törpegém
67||
(Black-crowned) Night Heron|Nycticorax nycticorax |Bakcsó
68||
Squacco Heron|Ardeola ralloides |Üstökösgém
69||
Chinese Pond-heron|Ardeola bacchus|Kínai üstökösgém
70||
Cattle Egret |Bubulcus ibis |Pásztorgém 
71||
Western Reef Egret |Egretta gularis |Zátonykócsag 
72||
Little Egret|Egretta garzetta |Kis kócsag
73||
Great (aka Great White) Egret|Ardea alba|Nagy kócsag
74||
Grey Heron|Ardea cinerea |Szürke gém
75||
Purple Heron|Ardea purpurea |Vörös gém
76||
Black Stork|Ciconia nigra |Fekete gólya
77||
White Stork|Ciconia ciconia |Fehér gólya
78||
Marabou Stork|Leptoptilos crumeniferus|Afrikai marabu
79||
Glossy Ibis|Plegadis falcinellus |Batla
80||
Eurasian Spoonbill|Platalea leucorodia |Kanalasgém
81||
Greater Flamingo |Phoenicopterus roseus |Rózsás flamingó 
82||
(European) Honey Buzzard|Pernis apivorus |Darázsölyv
83||
Black Kite|Milvus migrans |Barna kánya
84||
Red Kite|Milvus milvus |Vörös kánya
85||
White-tailed Eagle|Haliaeetus albicilla |Rétisas
86||
Egyptian Vulture |Neophron percnopterus |Dögkeselyű 
87||
Griffon Vulture |Gyps fulvus |Fakó keselyű 
88||
Cinereous (aka Black) Vulture|Aegypius monachus |Barátkeselyű 
89||
Short-toed (Snake) Eagle|Circaetus gallicus |Kígyászölyv
90||
(Western) Marsh Harrier|Circus aeruginosus |Barna rétihéja
91||
Northern (aka Hen) Harrier|Circus cyaneus |Kékes rétihéja
92||
Pallid Harrier |Circus macrourus |Fakó rétihéja 
93||
Montagu's Harrier|Circus pygargus |Hamvas rétihéja
94||
(Northern) Goshawk|Accipiter gentilis |Héja
95||
(Eurasian) Sparrowhawk|Accipiter nisus |Karvaly
96||
Levant Sparrowhawk |Accipiter brevipes |Kis héja 
97||
(Common) Buzzard|Buteo buteo |Egerészölyv
98||
Long-legged Buzzard|Buteo rufinus |Pusztai ölyv
99||
Roughleg (aka Rough-legged Buzzard)|Buteo lagopus |Gatyás ölyv
100||
Lesser Spotted Eagle|Aquila pomarina |Békászó sas
101||
(Greater) Spotted Eagle |Aquila clanga |Fekete sas 
102||
Steppe Eagle |Aquila nipalensis |Pusztai sas 
103||
(Asian) Imperial Eagle|Aquila heliaca |Parlagi sas
104||
Golden Eagle|Aquila chrysaetos |Szirti sas
105||
Booted Eagle |Aquila fasciata |Törpesas 
106||
Bonelli's Eagle |Aquila pennata |Héjasas 
107||
Osprey|Pandion haliaetus |Halászsas
108||
Lesser Kestrel |Falco naumanni |Fehérkarmú vércse 
109||
(Common) Kestrel|Falco tinnunculus |Vörös vércse
110||
Red-footed Falcon|Falco vespertinus |Kék vércse
111||
Amur Falcon |Falco amurensis |Amuri vércse 
112||
Merlin|Falco columbarius |Kis sólyom
113||
(Eurasian) Hobby|Falco subbuteo |Kabasólyom
114||
Eleonora's Falcon |Falco eleonorae |Eleonóra-sólyom 
115||
Saker (Falcon)|Falco cherrug |Kerecsensólyom
116||
Peregrine (Falcon)|Falco peregrinus |Vándorsólyom
117||
Water Rail|Rallus aquaticus |Guvat
118||
Spotted Crake|Porzana porzana |Pettyes vízicsibe
119||
Little Crake|Porzana parva |Kis vízicsibe
120||
Baillon's Crake |Porzana pusilla |Törpevízicsibe 
121||
Corn Crake|Crex crex |Haris
122||
(Common) Moorhen|Gallinula chloropus |Vízityúk
123||
Purple Swamphen (aka Purple Gallinule)|Porphyrio porphyrio |Kék fú 
124||
(Eurasian) Coot|Fulica atra |Szárcsa
125||
Common (aka Eurasian) Crane|Grus grus |Daru
126||
Demoiselle Crane |Grus virgo|Pártásdaru 
127||
Little Bustard |Tetrax tetrax |Reznek 
128||
Great Bustard|Otis tarda |Túzok
129||
(Eurasian) Oystercatcher|Haematopus ostralegus |Csigaforgató
130||
Black-winged Stilt|Himantopus himantopus |Gólyatöcs
131||
(Pied) Avocet|Recurvirostra avosetta |Gulipán
132||
(Eurasian) Stone-curlew|Burhinus oedicnemus |Ugartyúk
133||
Collared Pratincole|Glareola pratincola |Székicsér
134||
Black-winged Pratincole |Glareola nordmanni |Feketeszárnyú székicsér 
135||
Little Ringed Plover|Charadrius dubius |Kis lile
136||
(Common) Ringed Plover|Charadrius hiaticula |Parti lile
137||
Killdeer (aka Killdeer Plover)|Charadrius vociferus |Ékfarkú lile 
138||
Kentish Plover|Charadrius alexandrinus |Széki lile
139||
Greater Sand Plover |Charadrius leschenaultii |Sivatagi lile 
140||
(Eurasian) Dotterel|Charadrius morinellus |Havasi lile
141||
American Golden Plover |Pluvialis dominicus |Amerikai pettyeslile 
142||
Pacific Golden Plover |Pluvialis fulva |Ázsiai pettyeslile 
143||
(European) Golden Plover|Pluvialis apricaria |Aranylile
144||
Grey Plover|Pluvialis squatarola |Ezüstlile
145||
Spur-winged Lapwing  (aka Spur-winged Plover)|Vanellus spinosus |Tüskés bíbic 
146||
Sociable Lapwing  (aka Sociable Plover)|Vanellus gregarius |Lilebíbic 
147||
