Aquila heliaca|Acvilă de câmp
Aquila chrysaetos|Acvilă de munte
Aquila nipalensis|Acvilă de stepă
Hieraaetus pennatus|Acvilă mică
Aquila fasciata|Acvilă porumbacă
Aquila clanga|Acvilă ţipătoare mare
Aquila pomarina|Acvilă ţipătoare mică
Uria aalge|Alcă nordică
Nucifraga caryocatactes|Alunar
Regulus regulus|Auşel cu cap galben
Regulus ignicapillus |Auşel sprâncenat
Cinclus cinclus|Barza neagra
Ciconia ciconia|Barză albă
Ciconia nigra|Barză neagră
Gallinago media|Becaţină comună
Gallinago gallinago|Becaţină mare
Lymnocryptes minimus|Becaţină mică
Remiz pendulinus|Boicuş
Coccothraustes coccothraustes|Botgros
Prunella modularis|Brumăriţă de pădure
Prunella collaris|Brumăriţă de stâncă
Botaurus stellaris|Buhai de baltă
Bubo bubo|Buhă
Philomachus pugnax|Bătăuş
Caprimulgus europaeus|Caprimulg
Jynx torquilla|Capîntortură
Chlidonias leucopterus|Chirighiţă cu aripi albe
Chlidonias hybrida|Chirighiţă cu obraji albi
Chlidonias niger|Chirighiţă neagră
Sterna hirundo|Chiră de baltă
Sterna sandvicensis|Chiră de mare
Sterna caspia|Chiră mică
Sterna paradisea|Chiră polară
Recurvirostra avosetta|Cicintors
Chlidonias niger|Cinghiţă alpină
Fringilla coelebs|Cinteză
Fringilla montifringilla|Cinteză de iarnă
Corvus frugilegus|Cioară de semănătură
Corvus cornix|Cioară grivă
Galerida cristata|Ciocârlan
Melanocorypha leucoptera|Ciocârlie cu aripi albe
Melanocorypha calandra|Ciocârlie de bărăgan
Alauda arvensis|Ciocârlie de câmp
Lullula arborea|Ciocârlie de pădure
Calandrella brachydactyla|Ciocârlie de stol
Calandrella rufescens|Ciocârlie mică
Melanocorypha yeltoniensis|Ciocârlie neagră
Eremophila alpestris|Ciocârlie urecheată
Recurvirostra avosetta|Ciocîntors
Dendrocopos leucotos|Ciocănitoare cu spate alb
Dendrocopos syriacus|Ciocănitoare de grădini
Picoides tridactylus |Ciocănitoare de munte
Dendrocopos medius|Ciocănitoare de stejar
Dendrocopos minor|Ciocănitoare mică
Dryocopus martius|Ciocănitoare neagră
Dendrocopos major|Ciocănitoare pestriţă mare
Glareola pratincola|Ciovlica
Glareola nordmanni|Ciovlica negrie
Glareola pratincola|Ciovlica ruginie
Asio flammeus|Ciuf de câmp
Asio otus|Ciuf de pădure
Surnia ulula|Ciuhurez
Glaucidium passerinum|Ciuvică
Otus scops|Ciuş
Grus grus|Cocor
Grus virgo|Cocor mic
Tetrao terix|Cocoş de mesteacăn
Tetrao urogallus|Cocoş de munte
Turdus pilaris|Cocoşar
Haliaeetus albicilla|Codalb
Motacilla alba|Codobatură albă
Motacilla citreola|Codobatură cu cap galben
Motacilla cinerea|Codobatură de munte
Motacilla flava|Codobatură galbenă
Phoenicurus ochruros|Codroş de munte
Phoenicurus phoenicurus|Codroş de pădure
Certhia brachydactyla|Cojoaică cu degete scurte
Certhia familiaris|Cojoaică de pădure
Corvus corax|Corb
Podiceps nigricollis|Corcodel cu gât negru
Podiceps grisegena|Corcodel cu gât roşu
Podiceps auritus|Corcodel de iarnă
Podiceps cristatus|Corcodel mare
Tachybaptus ruficollis|Corcodel mic
Phalacrocorax carbo|Cormoran mare
Phalacrocorax pygmeus|Cormoran mic
Phalacrocorax aristotelis|Cormoran moţat
Pica pica|Coţofană
Porzana parva|Cresteţ cenuşiu
Porzana pusilla|Cresteţ mic
Porzana porzana|Cresteţ pestriţ
Crex crex|Cristel de câmp
Rallus aquaticus|Crâstel de baltă
Cuculus canorus|Cuc
Athene noctua|Cucuvea
Gavia immer|Cufundar mare
Gavia stellata|Cufundar mic
Gavia arctica|Cufundar polar
Numenius tenuirostris|Culic cu cioc subţire
Numenius arquata|Culic mare
Numenius phaeopus|Culic mic
Carduelis cannabina|Cânepar
Rallus aquaticus|Cârstel de baltă
Tadorna tadorna|Călifar alb
Tadorna ferruginea|Călifar roşu
Serinus serinus|Cănăraş
Apus melba|Drepnea mare
Apus apus|Drepnea neagră
Otis tardas|Dropie
Chlamydotis undulata|Dropie gulerată
Coracias garrulus|Dumbrăveancă
Casmerodius albus|Egreta alba
Casmerodius albus|Egretă mare
Egretta garzetta|Egretă mică
Somateria mollissima|Eider
Circus macrourus|Erete alb
Circus aeruginosus|Erete de stuf
Circus pygargus|Erete sur
Circus cyaneus|Erete vânăt
Phasianus colchicus|Fazan
Mergus merganser|Ferestraş mare
Mergellus albellus|Ferestraş mic
Mergus serrator|Ferestraş moţat
Carduelis chloris|Florinte
Tringa totanus|Fluierar cu picioare roşii
Tringa nebularia|Fluierar cu picioare verzi
Tringa stagnatilis|Fluierar de lac
Tringa glareola|Fluierar de mlaştină
Actitis hypoleucos|Fluierar de munte
Tringa ochropus|Fluierar de zăvoi
Tringa erythropus|Fluierar negru
Xenus cinereus|Fluierar sur
Xenus cinereus|Fluierar sur
Tichodroma muraria|Fluturaş de stâncă
Loxia pytyopsittacus|Forfecar
Loxia curvirostra|Forfecuţă
Loxia leucoptera|Forfecuţă bălţată
Hippolais olivetorum|Frunzăriţă balcanică
Hippolais pallida|Frunzăriţă cenuşie
Hippolais icterina|Frunzăriţă galbenă
Calidris canutus|Fugaci de mare
Calidris alpina|Fugaci de ţărm
Calidris minuta|Fugaci mic
Calidris temminckii|Fugaci pitic
Calidris melanotos|Fugaci pătat
Calidris ferruginea|Fugaci roşcat
Puffinus yelkouan|Furtunar
Anthus campestris|Fâsă de câmp
Anthus pratensis|Fâsă de luncă
Anthus spinoletta|Fâsă de munte
Anthus trivialis|Fâsă de pădure
Anthus cervinus|Fâsă roşiatică
Elanus caeruleus|Gaie cenuşie
Milvus migrans|Gaie neagră
Milvus milvus|Gaie roşie
Garrulus glandarius|Gaiţă
Picus canus|Ghionoaie sură
Picus viridis|Ghionoaie verde
Oriolus oriolus|Grangur
Sturnus vulgaris|Graur
Locustella luscinioides|Greluşel de stuf
Locustella fluviatilis|Greluşel de zăvoi
Locustella naevia|Greluşel pătat
Streptopelia decaocto|Guguştiuc
Luscinia svecica|Guşă vânătă
Anser albifrons|Gârliţă mare
Anser erythropus|Gârliţă mică
Anser brachyrhynchus|Gâscă cu cioc scurt
Branta ruficollis|Gâscă cu gât roşu
Branta leucopsis|Gâscă călugăriţă
Anser indicus|Gâscă de India
Anser fabalis|Gâscă de semănătură
Anser anser|Gâscă de vară
Anser caerulescens|Gâscă de zăpadă
Alopochen aegyptiacus|Gâscă egipteană
Branta bernicla|Gâscă neagră
Gallinula chloropus|Găinuşă de baltă
Syrrhaptes paradoxus|Găinuşă de stepă
Neophron percnopterus|Hoitar
Strix uralensis|Huhurez mare
Strix aluco|Huhurez mic
Bonasa bonasia|Ieruncă
Lagopus mutus|Ieruncă alpină
Carduelis flammea|Inăriţă
Carduelis flavirostris|Inăriţă cu cioc galben
Carduelis hornemanni|Inăriţă de tundră
Cygnus cygnus|Lebădă de iarnă
Cygnus olor|Lebădă de vară
Cygnus columbianus|Lebădă mică
Cygnus atratus|Lebădă neagră
Fulica atra|Lişiţă
Platalea leucorodia|Lopătar
Stercorarius pomarinus|Lup de mare
Sterna albifrons|Lup de mare atlantic
Stercorarius longicaudus|Lup de mare codat
Stercorarius parasiticus|Lup de mare mic
Acrocephalus agricola|Lăcar cafeniu
Acrocephalus palustris|Lăcar de mlaştină
Acrocephalus paludicola|Lăcar de pipirig
Acrocephalus scirpaceus|Lăcar de stuf
Acrocephalus arundinaceus|Lăcar mare
Acrocephalus schoenobaenus|Lăcar mic
Sturnus roseus|Lăcustar
Delichon urbica|Lăstun de casă
Riparia riparia|Lăstun de mal
Ptyonoprogne rupestris|Lăstun de stâncă
Turdus merula|Mierlă
Monticola solitarius|Mierlă albastră
Cinclus cinclus|Mierlă de apă
Monticola saxatilis|Mierlă de piatră
Turdus torquatus|Mierlă gulerată
Aegolius funereus|Minuniţă
Pyrrhula pyrrhula|Mugurar
Carpodacus erythrinus|Mugurar roşu
Ficedula albicollis|Muscar gulerat
Ficedula parva|Muscar mic
Ficedula hypoleuca|Muscar negru
Muscicapa striata|Muscar sur
Erithacus rubecula|Măcăleandru
Saxicola rubetra|Mărăcinar mare
Saxicola torquata|Mărăcinar negru
Bombycilla garrulus|Mătăsar
Vanellus vanellus|Nagâţ
Chettusia leucura|Nagâţ cu coada albă
Chettusia gregaria|Nagâţ de stepă
Hoplopterus spinosus|Nagâţ sudic
Calidris alba|Nisipar
Phalaropus lobatus|Notatiţă
Phalaropus fulicarius|Notatiţă cu cioc lat
