Gavia stellata|Riđogrli morski gnjurac
Gavia arctica|Crnogrli morski gnjurac
Gavia immer|Veliki morski gnjurac
Gavia adamsii|Žutokljuni morski gnjurac
Tachybaptus ruficollis|Mali gnjurac
Podiceps grisegena|Riđovrati gnjurac
Podiceps cristatus|Ćubasti gnjurac
Podiceps auritus|Ušati gnjurac
Podiceps nigricollis|Crnovrati gnjurac
Fulmarus glacialis|Burnjak
Pterodroma madeira|Maderska burnica
Pterodroma feae|Zelenortska burnica
Bulweria bulwerii|Bulverova burnica
Calonectris diomedea|Golemi zovoj
Puffinus puffinus|Obični zovoj
Puffinus mauretanicus|Balearski zovoj
Puffinus yelkouan|Mali zovoj
Puffinus assimilis|Plavonogi zovoj
Pelagodroma marina|Belolika burnica
Hydrobates pelagicus|Burnica
Oceanodroma castro|Beloleđa burnica
Oceanodroma leucorhoa|Lastorepa burnica
Pelecanus onocrotalus|Ružičasti nesit
Pelecanus crispus|Kudravi nesit
Morus bassanus|Obična bluna
Phalacrocorax pygmeus|Mali vranac
Phalacrocorax carbo|Veliki vranac
Phalacrocorax aristotelis|Morski vranac
Egretta garzetta|Mala bela čaplja
Ardea cinerea|Siva čaplja
Ardea purpurea|Crvena čaplja
Casmerodius albus|Velika bela čaplja
Bubulcus ibis|Čaplja govedarka
Ardeola ralloides|Žuta čaplja
Nycticorax nycticorax|Gak
Ixobrychus minutus|Čapljica
Botaurus stellaris|Vodeni bik
Ciconia nigra|Crna roda
Ciconia ciconia|Bela roda
Plegadis falcinellus|Ražanj
Geronticus eremita|Ćelavi ražanj
Platalea leucorodia|Kašičar
Phoenicopterus ruber|Plamenac
Oxyura leucocephala|Beloglava patka
Cygnus olor|Labud grbac
Cygnus cygnus|Veliki labud
Cygnus columbianus|Mali labud
Anser brachyrhynchus|Kratkokljuna guska
Anser fabalis|Guska glogovnjača
Anser albifrons|Lisasta guska
Anser erythropus|Mala lisasta guska
Anser anser|Divlja guska
Anser caerulescens|Snežna guska
Branta canadensis|Kanadska guska
Branta leucopsis|Belolika guska
