Oxyura leucocephala|beloglavka
Cygnus atratus|črni labod
Cygnus olor|labod grbec
Cygnus columbianus|mali labod
Cygnus cygnus|labod pevec
Branta leucopsis|belolična gos
Branta ruficollis|rdečevrata gos
Branta canadensis|kanadska gos
Anser brachyrhynchus|kratkokljuna gos
Anser anser|siva gos
Anser fabalis|njivska gos
Anser albifrons|beločela gos
Anser erythropus|mala gos
Clangula hyemalis|zimska raca
Somateria mollissima|gaga
Melanitta fusca|beloliska
Melanitta nigra|crna raca
Bucephala clangula|zvonec
Mergellus albellus|mali žagar
Mergus merganser|veliki žagar
Mergus serrator|srednji žagar
Tadorna tadorna|duplinska kozarka
Tadorna ferruginea|rjasta kozarka
Netta rufina|tatarska žvižgavka
Aythya ferina|sivka
Aythya nyroca|kostanjevka
Aythya fuligula|čopasta črnica
Aythya marila|rjavka
Spatula querquedula|reglja
Spatula clypeata|žličarica
Mareca strepera|konopnica
Mareca penelope|žvižgavka
Mareca americana|ameriška žvižgavka
Anas platyrhynchos|mlakarica
Anas acuta|dolgorepa raca
Anas crecca|kreheljc
Aix galericulata|mandarinka
Aix sponsa|nevestica
|
Coturnix coturnix|prepelica
Alectoris graeca|kotorna
Alectoris rufa|španska kotorna
Phasianus colchicus|fazan
Tetrastes bonasia|gozdni jereb
Lagopus muta|belka
Tetrao urogallus|divji petelin
Lyrurus tetrix|ruševec
Perdix perdix|jerebica
|
Phoenicopterus roseus|plamenec
|
Tachybaptus ruficollis|mali ponirek
Podiceps grisegena|rjavovrati ponirek
Podiceps cristatus|čopasti ponirek
Podiceps auritus|zlatouhi ponirek
Podiceps nigricollis|črnovrati ponirek
|
Columba livia|skalni golob
Columba oenas|duplar
Columba palumbus|grivar
Streptopelia turtur|divja grlica
Streptopelia decaocto|turška grlica
|
Syrrhaptes paradoxus|kirgiška sadža
|
Caprimulgus europaeus|podhujka
|
Tachymarptis melba|planinski hudournik
Apus pallidus|bledi hudournik
Apus apus|hudournik
|
Clamator glandarius|čopasta kukavica
Cuculus canorus|kukavica
|
Rallus aquaticus|mokož
Crex crex|kosec
Porzana porzana|grahasta tukalica
Zapornia parva|mala tukalica
Zapornia pusilla|pritlikava tukalica
Gallinula chloropus|zelenonoga tukalica
Fulica atra|liska
|
Grus grus|žerjav
|
Tetrax tetrax|mala droplja
Otis tarda|velika droplja
Chlamydotis macqueenii|
|
Gavia stellata|rdečegrli slapnik
Gavia arctica|polarni slapnik
Gavia immer|ledni slapnik
Gavia adamsii|rumenokljuni slapnik
|
Fulmarus glacialis|ledni viharnik
Ardenna grisea|črni viharnik
Calonectris diomedea|rumenokljuni viharnik
Puffinus puffinus|atlantski viharnik
Puffinus yelkouan|sredozemski viharnik
|
Ciconia nigra|črna štorklja
Ciconia ciconia|bela štorklja
|
Pelecanus onocrotalus|rožnati pelikan
|
Botaurus stellaris|bobnarica
Ixobrychus minutus|čapljica
Nycticorax nycticorax|kvakač
Ardeola ralloides|čopasta čaplja
Bubulcus ibis|kravja čaplja
Ardea cinerea|siva čaplja
Ardea purpurea|rjava čaplja
Ardea alba|velika bela čaplja
Egretta garzetta|mala bela čaplja
|
Platalea leucorodia|žličarka
Plegadis falcinellus|plevica
|
Morus bassanus|strmoglavec
|
Microcarbo pygmeus|pritlikavi kormoran
Phalacrocorax aristotelis|vranjek
Phalacrocorax carbo|veliki kormoran
|
Burhinus oedicnemus|prlivka
|
Haematopus ostralegus|školjkarica
|
Recurvirostra avosetta|sabljarka
Himantopus himantopus|polojnik
|
Pluvialis squatarola|črna prosenka
Pluvialis apricaria|zlata prosenka
Eudromias morinellus|dular
Charadrius hiaticula|komatni deževnik
Charadrius dubius|mali deževnik
Charadrius alexandrinus|beloceli deževnik
Vanellus vanellus|priba
Vanellus gregarius|stepska priba
|
Numenius phaeopus|mali škurh
Numenius tenuirostris|tenkokljuni škurh
Numenius arquata|veliki škurh
Limosa lapponica|progastorepi kljunač
Limosa limosa|črnorepi kljunač
Arenaria interpres|kamenjar
Calidris canutus|veliki prodnik
Calidris pugnax|togotnik
Calidris falcinellus|ploskokljunec
Calidris ferruginea|srpokljuni prodnik
Calidris temminckii|Temminckov prodnik
Calidris alba|peščenec
Calidris alpina|spremenljivi prodnik
Calidris maritima|morski prodnik
Calidris minuta|mali prodnik
Scolopax rusticola|sloka
Gallinago media|čoketa
Gallinago gallinago|kozica
Lymnocryptes minimus|puklež
Actitis hypoleucos|mali martinec
Tringa ochropus|pikasti martinec
Tringa erythropus|črni martinec
Tringa nebularia|zelenonogi martinec
Tringa totanus|rdečenogi martinec
Tringa glareola|močvirski martinec
Tringa stagnatilis|jezerski martinec
Phalaropus lobatus|ozkokljuni liskonožec
Phalaropus fulicarius|ploskokljuni liskonožec
|
Cursorius cursor|pušcavski tekalec
Glareola pratincola|rjava komatna tekica
|
Fratercula arctica|mormon
Cepphus grylle|črna njorka
Alca torda|njorka
|
Stercorarius longicaudus|dolgorepa govnačka
Stercorarius parasiticus|bodičasta govnačka
Stercorarius pomarinus|lopatasta govnačka
Stercorarius skua|velika govnačka
|
Rissa tridactyla|triprsti galeb
Chroicocephalus genei|zalivski galeb
Chroicocephalus ridibundus|rečni galeb
Hydrocoloeus minutus|mali galeb
Ichthyaetus melanocephalus|črnoglavi galeb
Ichthyaetus ichthyaetus|ribji galeb
Larus canus|sivi galeb
Larus fuscus|rjavi galeb
Larus argentatus|srebrni galeb
Larus michahellis|rumenonogi galeb
Larus cachinnans|rumenonogi galeb
Larus hyperboreus|ledni galeb
Larus marinus|veliki galeb
Sternula albifrons|mala čigra
Gelochelidon nilotica|črnonoga čigra
Hydroprogne caspia|kaspijska čigra
Chlidonias hybrida|belolična čigra
Chlidonias leucopterus|beloperuta čigra
Chlidonias niger|črna čigra
Sterna hirundo|navadna čigra
Thalasseus sandvicensis|kričava cigra
|
Pandion haliaetus|ribji orel
|
Pernis apivorus|sršenar
Neophron percnopterus|egiptovski jastreb
Circaetus gallicus|kačar
Gyps fulvus|beloglavi jastreb
Aegypius monachus|rjavi jastreb
Clanga pomarina|mali klinkač
Clanga clanga|veliki klinkač
Aquila heliaca|kraljevi orel
Aquila chrysaetos|planinski orel
Hieraaetus pennatus|mali orel
Circus aeruginosus|rjavi lunj
Circus cyaneus|pepelasti lunj
Circus macrourus|stepski lunj
Circus pygargus|močvirski lunj
Accipiter nisus|skobec
Accipiter gentilis|kragulj
Haliaeetus albicilla|belorepec
Milvus milvus|rjavi škarnik
Milvus migrans|črni škarnik
Buteo lagopus|koconoga kanja
Buteo buteo|kanja
Buteo rufinus|Rjasta kanja
|
Tyto alba|Pegasta sova
|
Glaucidium passerinum|mali skovik
Athene noctua|čuk
Aegolius funereus|koconogi čuk
Otus scops|veliki skovik
Asio otus|mala uharica
Asio flammeus|močvirska uharica
Strix aluco|lesna sova
Strix uralensis|vrbji kovacek kozaca
Bubo scandiacus|snežna sova
Bubo bubo|velika uharica
|
Upupa epops|smrdokavra
|
Jynx torquilla|vijeglavka
Picus canus|pivka
Picus viridis|zelena žolna
Dryocopus martius|črna žolna
Dendrocopos minor|mali detel
Dendrocopos medius|srednji detel
Dendrocopos leucotos|belohrbti detel
Dendrocopos syriacus|sirijski detel
Dendrocopos major|veliki detel
Picoides tridactylus|triprsti detel
|
Merops apiaster|čebelar
|
Coracias garrulus|zlatovranka
|
Alcedo atthis|vodomec
|
Falco naumanni|južna postovka
Falco tinnunculus|postovka
Falco vespertinus|rdečenoga postovka
Falco eleonorae|sredozemski sokol
Falco columbarius|mali sokol
Falco subbuteo|škrjančar
Falco biarmicus|južni sokol
Falco cherrug|sokol morilec
Falco peregrinus|sokol selec
|
Psittacula krameri|aleksander
|
Oriolus oriolus|kobilar
|
Lanius collurio|rjavi srakoper
Lanius minor|črnočeli srakoper
Lanius excubitor|veliki srakoper
Lanius senator|rjavoglavi srakoper
|
Pyrrhocorax pyrrhocorax|planinska vrana
Pyrrhocorax graculus|planinska kavka
Garrulus glandarius|šoja
Pica pica|Sraka
Nucifraga caryocatactes|krekovt
Corvus monedula|kavka
Corvus frugilegus|poljska vrana
Corvus corax|krokar
Corvus corone|crna vrana
|
Prunella collaris|planinska pevka
Prunella modularis|siva pevka
|
Passer domesticus|domaci vrabec
Passer hispaniolensis|travniški vrabec
Passer montanus|poljski vrabec
