Gavia stellata|Kızıl Gerdanlı Dalgıç
Gavia arctica|Kara Gerdanlı Dalgıç
Gavia immer|Buz Dalgıcı
Tachybaptus ruficollis|Küçük Batağan
Podiceps cristatus|Bahri
Podiceps grisegena|Kızıl Boyunlu Batağan
Podiceps auritus|Kulaklı Batağan
Podiceps nigricollis|Kara Boyunlu Batağan
Calonectris diomedea|Boz Yelkovan
Puffinus yelkouan|Yelkovan
Hydrobates pelagicus|Fırtınakırlangıcı
Morus bassanus|Sümsük
Phalacrocorax carbo|Karabatak
Phalacrocorax aristotelis|Tepeli Karabatak
Phalacrocorax pygmeus|Küçük Karabatak
Anhinga rufa|Yılanboyun
Pelecanus onocrotalus|Ak Pelikan
Pelecanus rufescens|Küçük Pelikan
Pelecanus crispus|Tepeli Pelikan
Botaurus stellaris|Balaban
Ixobrychus minutus|Küçük Balaban
Nycticorax nycticorax|Gece Balıkçılı
Ardeola ralloides|Alaca Balıkçıl
Bubulcus ibis|Sığır Balıkçılı
Egretta garzetta|Küçük Ak Balıkçıl
Casmerodius albus|Büyük Ak Balıkçıl
Ardea cinerea|Gri Balıkçıl
Ardea purpurea|Erguvani Balıkçıl
Mycteria ibis|Sarı Gagalı Leylek
Ciconia nigra|Kara Leylek
Ciconia ciconia|Leylek
Plegadis falcinellus|Çeltikçi
Geronticus eremita|Kelaynak
Platalea leucorodia|Kaşıkçı
Phoenicopterus roseus|Flamingo
Phoeniconaias minor|Küçük Flamingo
Alopochen aegyptiaca|Nil Kazı
Cygnus olor|Kuğu
Cygnus columbianus|Küçük Kuğu
Cygnus cygnus|Ötücü Kuğu
Anser fabalis|Tarla Kazı
Anser albifrons|Sakarca
Anser erythropus|Küçük Sakarca
Anser anser|Boz Kaz
Branta leucopsis|Ak Yanaklı Kaz
Branta bernicla|Yosun Kazı
Branta ruficollis|Sibirya Kazı
Tadorna ferruginea|Angıt
Tadorna tadorna|Suna
Anas penelope|Fiyu
Anas strepera|Boz Ördek
Anas crecca|Çamurcun
Anas platyrhynchos|Yeşilbaş
Anas acuta|Kılkuyruk
Anas querquedula|Çıkrıkçın
Anas clypeata|Kaşıkgaga
Marmaronetta angustirostris|Yaz Ördeği
Netta rufina|Macar Ördeği
Aythya ferina|Elmabaş Patka
Aythya nyroca|Pasbaş Patka
Aythya fuligula|Tepeli Patka
Aythya marila|Karabaş Patka
Clangula hyemalis|Telkuyruk
Bucephala clangula|Altıngöz
Mergellus albellus|Sütlabi
Mergus serrator|Tarakdiş
Mergus merganser|Büyük Tarakdiş
Oxyura leucocephala|Dikkuyruk
Somateria mollissima|Pufla
Melanitta nigra|Kara Ördek
Melanitta fusca|Kadife Ördek
Pernis apivorus|Arı Şahini
Pernis ptilorhyncus|Tepeli Arı Şahini
Elanus caeruleus|Ak Çaylak
Milvus migrans|Kara Çaylak
Milvus milvus|Kızıl Çaylak
Haliaeetus albicilla|Ak Kuyruklu Kartal
Gypaetus barbatus|Sakallı Akbaba
Neophron percnopterus|Küçük Akbaba
Gyps fulvus|Kızıl Akbaba
Aegypius monachus|Kara Akbaba
Circaetus gallicus|Yılan Kartalı
Circus aeruginosus|Saz Delicesi
Circus cyaneus|Gökçe Delice
Circus macrourus|Bozkır Delicesi
Circus pygargus|Çayır Delicesi
Accipiter gentilis|Çakır
Accipiter nisus|Atmaca
Accipiter badius|Şikra
Accipiter brevipes|Yaz Atmacası
Buteo buteo|Şahin
Buteo rufinus|Kızıl Şahin
Buteo lagopus|Paçalı Şahin
Aquila pomarina|Küçük Orman Kartalı
